Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 2 (Multiple Products / Multi Brand),cleanser_panthenol,Facial Wash Scora,MLKIT,32,31,1,1,1,1 [Terpotong (Cut-off) di Bagian Bawah Kemasan],LACTOCOCCUS FERMENT LYSATE
Skenario 2 (Multiple Products / Multi Brand),exfoliasi_skintific,Exfoliasi Skintific,MLKIT,31,30,1,1,1,1 [Gagal terdeteksi oleh OCR / terpotong],SENEGAL GUM EXTRACT
Skenario 2 (Multiple Products / Multi Brand),facial_wash_g2g,Facial Wash G2G,MLKIT,36,34,2,6,1 | BHA,1 [Gagal terdeteksi oleh OCR / terpotong] || BHA [Terpotong (Cut-off) di Bagian Bawah Kemasan],COPOLYMER | STARCH MODIFIED | SODIM | BEN | UFFICINALIS EXTRACT | BHAREFERS TO SALICYLIC ACID
Skenario 2 (Multiple Products / Multi Brand),facial_wash_kahf,Facial Wash Kahf,MLKIT,46,44,2,5,1 | CI 19140,1 [Gagal terdeteksi oleh OCR / terpotong] || CI 19140 [OCR Typo / Salah Karakter (Terbaca sebagai: 'CI I9I4O')],GLYCOL | GLUCONATE | ETE | COPOLYMER | CI I9I4O
Skenario 2 (Multiple Products / Multi Brand),g2g_cleanser,G2G Cleanser,MLKIT,16,16,0,6,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT
Skenario 2 (Multiple Products / Multi Brand),lipcare_madame_gie,Lipcare Madame Gie,MLKIT,13,13,0,3,,,CI 7749I | C. 7789I | CI 77499
Skenario 2 (Multiple Products / Multi Brand),masker_camille,Masker Camille,MLKIT,24,23,1,1,1,1 [Terpotong (Cut-off) di Bagian Bawah Kemasan],AVENA SATIVA KERNEL MEAL
Skenario 2 (Multiple Products / Multi Brand),masker_komedo,Masker Hidung Komedo,MLKIT,14,14,0,5,,,CAMELLA SINENSIS (GREEN LEA) | (PARFUM) | DS | KOSARMBI TIMUR | KEC KO8AMBJ
Skenario 2 (Multiple Products / Multi Brand),originote_eye_serum,Originote Eye Serum,MLKIT,35,13,22,12,AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER | POLYGLYCERYL-8 DISTEARATE | 1 | 2-HEXANEDIOL | HYDROXYACETOPHENONE | DIMETHICONE CROSSPOLYMER | JOJOBA ESTERS | LECITHIN | CAFFEINE | ALLANTOIN | POLYGLYCERYL-3 BEESWAX | ESCIN | GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT | TREHALOSE | PROPANEDIOL | PHENOXYETHANOL | CENTELLA ASIATICA ROOT EXTRACT | ETHYLHEXYLGLYCERIN | CAPRYLYL GLYCOL | XANTHAN GUM | PALMITOYL TRIPEPTIDE-1 | ARGININE/LYSINE POLYPEPTIDE,AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'OTEVP COPOLYMER')] || POLYGLYCERYL-8 DISTEARATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'POLYSARBOTE 2O')] || 1 [Gagal terdeteksi oleh OCR / terpotong] || 2-HEXANEDIOL [Gagal terdeteksi oleh OCR / terpotong] || HYDROXYACETOPHENONE [OCR Typo / Salah Karakter (Terbaca sebagai: 'USIICE FERMENT POLYGLYCEGYYDROXYACELOPHENONE')] || DIMETHICONE CROSSPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'OTEVP COPOLYMER')] || JOJOBA ESTERS [Gagal terdeteksi oleh OCR / terpotong] || LECITHIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCEIN')] || CAFFEINE [OCR Typo / Salah Karakter (Terbaca sebagai: 'CALTENE')] || ALLANTOIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'ALANO')] || POLYGLYCERYL-3 BEESWAX [Gagal terdeteksi oleh OCR / terpotong] || ESCIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCEIN')] || GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT [Gagal terdeteksi oleh OCR / terpotong] || TREHALOSE [OCR Typo / Salah Karakter (Terbaca sebagai: 'EHO')] || PROPANEDIOL [Gagal terdeteksi oleh OCR / terpotong] || PHENOXYETHANOL [Gagal terdeteksi oleh OCR / terpotong] || CENTELLA ASIATICA ROOT EXTRACT [Terpotong (Cut-off) di Bagian Bawah Kemasan] || ETHYLHEXYLGLYCERIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCEIN')] || CAPRYLYL GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'BUTYLENE GLYCOL')] || XANTHAN GUM [Terpotong (Cut-off) di Bagian Bawah Kemasan] || PALMITOYL TRIPEPTIDE-1 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || ARGININE/LYSINE POLYPEPTIDE [Terpotong (Cut-off) di Bagian Bawah Kemasan],PADA UJUNG JARI SECUKUPNYA | JIKA IRITASI BERLANJUT | HUBUNGI | ICYCLOPENTASILOXANE | SQUALNE | ALCAHOL | OTEVP COPOLYMER | USIICE FERMENT POLYGLYCEGYYDROXYACELOPHENONE | CALTENE | ALANO | ETPCT | EHO
Skenario 2 (Multiple Products / Multi Brand),sunscreen_emina,Sunscreen Emina,MLKIT,46,46,0,1,,,MIX PACKAGING FROM ROS
