Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_01,g2g_cleanser_trial_01,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_02,g2g_cleanser_trial_02,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_03,g2g_cleanser_trial_03,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_04,g2g_cleanser_trial_04,MLKIT,16,15,1,6,SORBITOL,SORBITOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITOL DISODIUM EDTA')],CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_05,g2g_cleanser_trial_05,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINILUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_06,g2g_cleanser_trial_06,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_07,g2g_cleanser_trial_07,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_08,g2g_cleanser_trial_08,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_09,g2g_cleanser_trial_09,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_10,g2g_cleanser_trial_10,MLKIT,16,15,1,7,BHT,BHT [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCOL BHT')],EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL BHT | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_11,g2g_cleanser_trial_11,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
