Sample,Engine,CER (%),WER (%),Exact Match Precision (%),Exact Match Recall (%),Exact Match F1 (%),Fuzzy Match Precision (%),Fuzzy Match Recall (%),Fuzzy Match F1 (%),Execution Time (ms),Total GT Ingredients,Total OCR Tokens Detected
Facial Wash Scora,mlkit,4.68%,7.94%,84.38%,84.38%,84.38%,100.00%,96.88%,98.41%,1855,32,32
Exfoliasi Skintific,mlkit,5.52%,9.52%,80.65%,80.65%,80.65%,100.00%,96.77%,98.36%,1450,31,31
G2G Cleanser,mlkit,56.97%,66.96%,40.91%,56.25%,47.37%,95.45%,100.00%,97.67%,1215,16,22
Masker Camille,mlkit,3.48%,16.33%,70.83%,70.83%,70.83%,100.00%,91.67%,95.65%,1350,24,24
Masker Hidung Komedo,mlkit,111.96%,165.71%,21.05%,28.57%,24.24%,73.68%,100.00%,84.85%,1150,14,19
Sunscreen Emina,mlkit,7.40%,8.00%,85.11%,86.96%,86.02%,97.87%,100.00%,98.92%,1270,46,47
Wardah Face Mist,mlkit,67.16%,114.81%,70.59%,75.00%,72.73%,100.00%,93.75%,96.77%,1250,16,17
Facial Wash G2G,mlkit,13.63%,28.77%,65.00%,72.22%,68.42%,95.00%,94.44%,94.72%,1235,36,40
Facial Wash Kahf,mlkit,7.09%,31.40%,48.98%,52.17%,50.53%,95.92%,93.48%,94.68%,1380,46,49
Originote Eye Serum,mlkit,83.48%,150.00%,4.00%,2.86%,3.33%,52.00%,31.43%,39.18%,1190,35,25
Lipcare Madame Gie,mlkit,63.71%,119.35%,50.00%,61.54%,55.17%,81.25%,100.00%,89.66%,1145,13,16
