Sample,Engine,CER (%),WER (%),Exact Match Precision (%),Exact Match Recall (%),Exact Match F1 (%),Fuzzy Match Precision (%),Fuzzy Match Recall (%),Fuzzy Match F1 (%),Execution Time (ms),Total GT Ingredients,Total OCR Tokens Detected
g2g_cleanser_trial_01,tesseract,78.62%,64.29%,23.08%,37.50%,28.57%,50.00%,81.25%,61.90%,850,16,26
g2g_cleanser_trial_01,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1989,16,23
g2g_cleanser_trial_01,paddleocr,5.31%,36.61%,76.47%,81.25%,78.79%,100.00%,100.00%,100.00%,N/A,16,17
g2g_cleanser_trial_02,tesseract,125.50%,125.89%,20.59%,43.75%,28.00%,55.88%,100.00%,71.70%,860,16,34
g2g_cleanser_trial_02,mlkit,50.33%,58.93%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1210,16,23
g2g_cleanser_trial_02,paddleocr,12.48%,41.96%,76.47%,81.25%,78.79%,100.00%,100.00%,100.00%,N/A,16,17
g2g_cleanser_trial_03,tesseract,94.16%,75.89%,22.58%,43.75%,29.79%,51.61%,93.75%,66.57%,870,16,31
g2g_cleanser_trial_03,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1272,16,23
g2g_cleanser_trial_03,paddleocr,7.17%,36.61%,62.50%,62.50%,62.50%,100.00%,93.75%,96.77%,N/A,16,16
g2g_cleanser_trial_04,tesseract,68.26%,58.04%,25.93%,43.75%,32.56%,62.96%,100.00%,77.27%,880,16,27
g2g_cleanser_trial_04,mlkit,50.60%,60.71%,28.57%,37.50%,32.43%,90.48%,93.75%,92.08%,1088,16,21
g2g_cleanser_trial_04,paddleocr,17.80%,49.11%,41.67%,31.25%,35.71%,100.00%,75.00%,85.71%,72861,16,12
g2g_cleanser_trial_05,tesseract,57.90%,51.79%,32.14%,56.25%,40.91%,64.29%,100.00%,78.26%,865,16,28
g2g_cleanser_trial_05,mlkit,50.46%,59.82%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1022,16,23
g2g_cleanser_trial_05,paddleocr,24.57%,53.57%,68.75%,68.75%,68.75%,100.00%,93.75%,96.77%,72454,16,16
g2g_cleanser_trial_06,tesseract,34.13%,47.32%,26.92%,43.75%,33.33%,61.54%,93.75%,74.30%,855,16,26
g2g_cleanser_trial_06,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1000,16,23
g2g_cleanser_trial_06,paddleocr,15.94%,51.79%,76.47%,81.25%,78.79%,100.00%,100.00%,100.00%,65608,16,17
g2g_cleanser_trial_07,tesseract,103.85%,59.82%,22.58%,43.75%,29.79%,54.84%,100.00%,70.83%,860,16,31
g2g_cleanser_trial_07,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1061,16,23
g2g_cleanser_trial_07,paddleocr,28.82%,58.93%,66.67%,62.50%,64.52%,100.00%,87.50%,93.33%,67128,16,15
g2g_cleanser_trial_08,tesseract,124.17%,100.00%,26.92%,43.75%,33.33%,65.38%,100.00%,79.07%,865,16,26
g2g_cleanser_trial_08,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1184,16,23
g2g_cleanser_trial_08,paddleocr,35.72%,68.75%,76.47%,81.25%,78.79%,100.00%,100.00%,100.00%,66135,16,17
g2g_cleanser_trial_09,tesseract,27.49%,29.46%,25.93%,43.75%,32.56%,74.07%,100.00%,85.11%,870,16,27
g2g_cleanser_trial_09,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,1113,16,23
g2g_cleanser_trial_09,paddleocr,15.14%,49.11%,68.75%,68.75%,68.75%,100.00%,93.75%,96.77%,68543,16,16
g2g_cleanser_trial_10,tesseract,103.98%,65.18%,25.93%,43.75%,32.56%,70.37%,100.00%,82.61%,860,16,27
g2g_cleanser_trial_10,mlkit,50.33%,58.93%,36.36%,50.00%,42.11%,86.36%,93.75%,89.91%,743,16,22
g2g_cleanser_trial_10,paddleocr,11.55%,44.64%,68.75%,68.75%,68.75%,100.00%,93.75%,96.77%,60105,16,16
g2g_cleanser_trial_11,tesseract,39.58%,33.93%,32.00%,50.00%,39.02%,72.00%,93.75%,81.45%,855,16,25
g2g_cleanser_trial_11,mlkit,50.20%,58.04%,39.13%,56.25%,46.15%,91.30%,100.00%,95.45%,980,16,23
g2g_cleanser_trial_11,paddleocr,22.58%,52.68%,61.54%,50.00%,55.17%,100.00%,75.00%,85.71%,63320,16,13
